stimulus,pc,session,count,run
pinkGREEN,pc50,reactive,1,run1
pinkPINK,pc50,reactive,3,run1
pinkYELLOW,pc50,reactive,1,run1
blueBLUE,bias,reactive,23,run1
bluePURPLE,bias,reactive,0,run1
blueRED,bias,reactive,0,run1
blueWHITE,bias,reactive,0,run1
purpleBLUE,bias,reactive,6,run1
purplePURPLE,bias,reactive,6,run1
purpleRED,bias,reactive,6,run1
purpleWHITE,bias,reactive,6,run1
redBLUE,bias,reactive,0,run1
redPURPLE,bias,reactive,0,run1
redRED,bias,reactive,24,run1
redWHITE,bias,reactive,0,run1
whiteBLUE,bias,reactive,6,run1
whitePURPLE,bias,reactive,6,run1
whiteRED,bias,reactive,6,run1
whiteWHITE,bias,reactive,6,run1
blackBLACK,pc50,reactive,3,run2
blackGREEN,pc50,reactive,1,run2
blackPINK,pc50,reactive,1,run2
blackYELLOW,pc50,reactive,1,run2
yellowBLACK,pc50,reactive,1,run2
yellowGREEN,pc50,reactive,1,run2
yellowPINK,pc50,reactive,1,run2
yellowYELLOW,pc50,reactive,3,run2
greenBLACK,pc50,reactive,1,run2
greenGREEN,pc50,reactive,3,run2
greenPINK,pc50,reactive,1,run2
greenYELLOW,pc50,reactive,1,run2
pinkBLACK,pc50,reactive,1,run2
pinkGREEN,pc50,reactive,1,run2
pinkPINK,pc50,reactive,3,run2
pinkYELLOW,pc50,reactive,1,run2
blueBLUE,bias,reactive,24,run2
bluePURPLE,bias,reactive,0,run2
blueRED,bias,reactive,0,run2
blueWHITE,bias,reactive,0,run2
purpleBLUE,bias,reactive,6,run2
purplePURPLE,bias,reactive,6,run2
purpleRED,bias,reactive,6,run2
purpleWHITE,bias,reactive,6,run2
redBLUE,bias,reactive,0,run2
redPURPLE,bias,reactive,0,run2
redRED,bias,reactive,24,run2
redWHITE,bias,reactive,0,run2
whiteBLUE,bias,reactive,6,run2
whitePURPLE,bias,reactive,6,run2
whiteRED,bias,reactive,6,run2
whiteWHITE,bias,reactive,6,run2
