subj,session,wave,dmcc,twinpair,is_mc_mi,is_mc_mi_cotwin,is_mi_mc,is_mi_mc_cotwin,is_mc_mi_retest,is_mc_mi_retest_cotwin,is_ispc_retest,is_ispc_retest_cotwin
DMCC3062542,baseline,wave1,2,34,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC3091953,baseline,wave1,2,14,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
DMCC3204738,baseline,wave1,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC3206338,baseline,wave1,2,15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC3876181,baseline,wave1,2,31,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
DMCC3963378,baseline,wave1,2,30,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC4191255,baseline,wave1,2,22,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
DMCC4260551,baseline,wave1,2,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC4368773,baseline,wave1,2,13,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC4854984,baseline,wave1,2,15,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC5065053,baseline,wave1,2,13,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC5195268,baseline,wave1,2,24,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
DMCC5244053,baseline,wave1,2,32,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
DMCC5775387,baseline,wave1,2,26,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
DMCC5820265,baseline,wave1,2,14,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
DMCC6371570,baseline,wave1,2,27,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
DMCC6418065,baseline,wave1,2,22,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC6484785,baseline,wave1,2,10,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
DMCC6627478,baseline,wave1,2,28,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
DMCC6661074,baseline,wave1,2,25,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
DMCC6671683,baseline,wave1,2,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC6705371,baseline,wave1,2,25,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
DMCC6721369,baseline,wave1,2,26,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
DMCC7297690,baseline,wave1,2,11,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC7921988,baseline,wave1,2,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC8050964,baseline,wave1,2,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC8078683,baseline,wave1,2,10,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC8214059,baseline,wave1,2,34,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC8260571,baseline,wave1,2,12,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
DMCC8760894,baseline,wave1,2,32,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC9441378,baseline,wave1,2,27,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
DMCC9478705,baseline,wave1,2,21,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
DMCC9850294,baseline,wave1,2,8,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC9953810,baseline,wave1,2,7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
107321,proactive,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
115825,proactive,wave1,2,17,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
123117,proactive,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
130114,proactive,wave1,2,35,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
130518,proactive,wave1,2,23,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
132017,proactive,wave1,2,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
135730,proactive,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
138837,proactive,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
141422,proactive,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
150423,proactive,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
153429,proactive,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
155938,proactive,wave1,2,35,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
158136,proactive,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
160830,proactive,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
161832,proactive,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
165032,proactive,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
171330,proactive,wave1,2,19,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
173738,proactive,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
176845,proactive,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
178243,proactive,wave1,2,17,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
178647,proactive,wave1,2,16,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
178950,proactive,wave1,2,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
182436,proactive,wave1,2,16,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
