dmcc,subj,session
2,DMCC7576593,baseline
2,DMCC7576593,proactive
2,DMCC7576593,reactive
2,DMCC7921988,baseline
2,DMCC7921988,proactive
2,DMCC7921988,reactive
2,DMCC8033964,baseline
2,DMCC8033964,proactive
2,DMCC8033964,reactive
2,DMCC8050964,baseline
2,DMCC8050964,proactive
2,DMCC8050964,reactive
2,DMCC8078683,baseline
2,DMCC8078683,proactive
2,DMCC8078683,reactive
2,DMCC8214059,baseline
2,DMCC8214059,proactive
2,DMCC8214059,reactive
2,DMCC8260571,baseline
2,DMCC8260571,proactive
2,DMCC8260571,reactive
2,DMCC8489098,baseline
2,DMCC8489098,proactive
2,DMCC8489098,reactive
2,DMCC8525783,baseline
2,DMCC8525783,proactive
2,DMCC8525783,reactive
2,DMCC8760894,baseline
2,DMCC8760894,proactive
2,DMCC8760894,reactive
2,DMCC9441378,baseline
2,DMCC9441378,proactive
2,DMCC9441378,reactive
2,DMCC9478705,baseline
2,DMCC9478705,proactive
2,DMCC9478705,reactive
2,DMCC9522479,baseline
2,DMCC9522479,proactive
2,DMCC9522479,reactive
2,DMCC9850294,baseline
2,DMCC9850294,proactive
2,DMCC9850294,reactive
2,DMCC9953810,baseline
2,DMCC9953810,proactive
2,DMCC9953810,reactive
3,115825,baseline
3,115825,proactive
3,115825,reactive
3,130114,baseline
3,130114,proactive
3,130114,reactive
3,130518,baseline
3,130518,proactive
3,130518,reactive
3,132017,baseline
3,132017,proactive
3,132017,reactive
3,155938,baseline
3,155938,proactive
3,155938,reactive
3,161832,baseline
3,161832,proactive
3,161832,reactive
3,171330,baseline
3,171330,proactive
3,171330,reactive
3,178243,baseline
3,178243,proactive
3,178243,reactive
3,178647,baseline
3,178647,proactive
3,178647,reactive
3,182436,baseline
3,182436,proactive
3,182436,reactive
3,197449,baseline
3,197449,proactive
3,197449,reactive
3,203418,baseline
3,203418,proactive
3,203418,reactive
3,250427,baseline
3,250427,proactive
3,250427,reactive
3,393550,baseline
3,393550,proactive
3,393550,reactive
3,448347,baseline
3,448347,proactive
3,448347,reactive
3,562345,baseline
3,562345,proactive
3,562345,reactive
3,568963,baseline
3,568963,proactive
3,568963,reactive
3,657659,baseline
3,657659,proactive
3,657659,reactive
3,672756,baseline
3,672756,proactive
3,672756,reactive
3,849971,baseline
3,849971,proactive
3,849971,reactive
3,877168,baseline
3,877168,proactive
3,877168,reactive
3,882161,baseline
3,882161,proactive
3,882161,reactive
3,DMCC1328342,baseline
3,DMCC1328342,proactive
3,DMCC1328342,reactive
3,DMCC1596165,baseline
3,DMCC1596165,proactive
3,DMCC1596165,reactive
3,DMCC2442951,baseline
3,DMCC2442951,proactive
3,DMCC2442951,reactive
3,DMCC2609759,baseline
3,DMCC2609759,proactive
3,DMCC2609759,reactive
3,DMCC2803654,baseline
3,DMCC2803654,proactive
3,DMCC2803654,reactive
3,DMCC2834766,baseline
3,DMCC2834766,proactive
3,DMCC2834766,reactive
3,DMCC3091953,baseline
3,DMCC3091953,proactive
3,DMCC3091953,reactive
3,DMCC3876181,baseline
3,DMCC3876181,proactive
3,DMCC3876181,reactive
3,DMCC4191255,baseline
3,DMCC4191255,proactive
3,DMCC4191255,reactive
3,DMCC5009144,baseline
3,DMCC5009144,proactive
3,DMCC5009144,reactive
3,DMCC5195268,baseline
3,DMCC5195268,proactive
3,DMCC5195268,reactive
3,DMCC5244053,baseline
3,DMCC5244053,proactive
3,DMCC5244053,reactive
3,DMCC5775387,baseline
3,DMCC5775387,proactive
3,DMCC5775387,reactive
3,DMCC5820265,baseline
3,DMCC5820265,proactive
3,DMCC5820265,reactive
3,DMCC6371570,baseline
3,DMCC6371570,proactive
3,DMCC6371570,reactive
3,DMCC6418065,baseline
3,DMCC6418065,proactive
3,DMCC6418065,reactive
3,DMCC6484785,baseline
3,DMCC6484785,proactive
3,DMCC6484785,reactive
3,DMCC6627478,baseline
3,DMCC6627478,proactive
3,DMCC6627478,reactive
3,DMCC6661074,baseline
3,DMCC6661074,proactive
3,DMCC6661074,reactive
3,DMCC6671683,baseline
3,DMCC6671683,proactive
3,DMCC6671683,reactive
3,DMCC6705371,baseline
3,DMCC6705371,proactive
3,DMCC6705371,reactive
3,DMCC6721369,baseline
3,DMCC6721369,proactive
3,DMCC6721369,reactive
3,DMCC8033964,baseline
3,DMCC8033964,proactive
3,DMCC8033964,reactive
3,DMCC8260571,baseline
3,DMCC8260571,proactive
3,DMCC8260571,reactive
3,DMCC8760894,baseline
3,DMCC9441378,baseline
3,DMCC9441378,proactive
3,DMCC9441378,reactive
3,DMCC9478705,baseline
3,DMCC9478705,proactive
3,DMCC9478705,reactive
4,197449,baseline
4,197449,proactive
4,197449,reactive
4,672756,baseline
4,672756,proactive
4,672756,reactive
4,DMCC3963378,baseline
4,DMCC3963378,proactive
4,DMCC3963378,reactive
4,DMCC5195268,baseline
4,DMCC5195268,proactive
4,DMCC5195268,reactive
4,DMCC8033964,baseline
4,DMCC8033964,proactive
4,DMCC8033964,reactive
4,DMCC8760894,baseline
4,DMCC8760894,proactive
4,DMCC8760894,reactive
