subject,wave,session,term,roi,b
115825,wave2,proactive,intercept,LH_Default_Par_3,0.0792670865873883
115825,wave2,proactive,conjunction,LH_Default_Par_3,-0.0141173546200581
115825,wave2,proactive,distractor,LH_Default_Par_3,0.0618674196978074
115825,wave2,proactive,incongruency,LH_Default_Par_3,-0.00111893737195761
115825,wave2,proactive,target,LH_Default_Par_3,0.0137252459100538
115825,wave2,proactive,intercept,LH_Default_Par_4,0.07687270535874
115825,wave2,proactive,conjunction,LH_Default_Par_4,0.0833066324269366
115825,wave2,proactive,distractor,LH_Default_Par_4,-0.00161304581390566
115825,wave2,proactive,incongruency,LH_Default_Par_4,0.00390568232557804
115825,wave2,proactive,target,LH_Default_Par_4,-0.00536800303404333
115825,wave2,proactive,intercept,LH_Default_pCunPCC_1,0.0203690397836213
115825,wave2,proactive,conjunction,LH_Default_pCunPCC_1,0.0407016715237597
115825,wave2,proactive,distractor,LH_Default_pCunPCC_1,0.0172959985191578
115825,wave2,proactive,incongruency,LH_Default_pCunPCC_1,0.0162191476040179
115825,wave2,proactive,target,LH_Default_pCunPCC_1,-0.0120589437774054
115825,wave2,proactive,intercept,LH_Default_pCunPCC_2,0.0656918889976707
115825,wave2,proactive,conjunction,LH_Default_pCunPCC_2,0.0376443113335406
115825,wave2,proactive,distractor,LH_Default_pCunPCC_2,0.0287644144157251
115825,wave2,proactive,incongruency,LH_Default_pCunPCC_2,-0.00488787683055573
115825,wave2,proactive,target,LH_Default_pCunPCC_2,-0.00857916445481415
115825,wave2,proactive,intercept,LH_Default_pCunPCC_3,0.0326506753899391
115825,wave2,proactive,conjunction,LH_Default_pCunPCC_3,0.0661603875203447
115825,wave2,proactive,distractor,LH_Default_pCunPCC_3,-0.0191481876139748
115825,wave2,proactive,incongruency,LH_Default_pCunPCC_3,-0.00580669770073786
115825,wave2,proactive,target,LH_Default_pCunPCC_3,-0.00798824735139825
115825,wave2,proactive,intercept,LH_Default_pCunPCC_4,0.0517100405485935
115825,wave2,proactive,conjunction,LH_Default_pCunPCC_4,0.0769812225923898
115825,wave2,proactive,distractor,LH_Default_pCunPCC_4,0.066386110908839
115825,wave2,proactive,incongruency,LH_Default_pCunPCC_4,-0.00817035774512901
115825,wave2,proactive,target,LH_Default_pCunPCC_4,-0.041501756907019
115825,wave2,proactive,intercept,LH_Default_PFC_1,0.00423378937380402
115825,wave2,proactive,conjunction,LH_Default_PFC_1,0.0198210197769478
115825,wave2,proactive,distractor,LH_Default_PFC_1,0.0115692929819014
115825,wave2,proactive,incongruency,LH_Default_PFC_1,-0.0144388399973785
115825,wave2,proactive,target,LH_Default_PFC_1,0.00138083441628481
115825,wave2,proactive,intercept,LH_Default_PFC_10,0.142802508905701
115825,wave2,proactive,conjunction,LH_Default_PFC_10,0.0996903346708166
115825,wave2,proactive,distractor,LH_Default_PFC_10,-0.0027541829962834
115825,wave2,proactive,incongruency,LH_Default_PFC_10,-0.00793456774493608
115825,wave2,proactive,target,LH_Default_PFC_10,-0.0216864186944857
115825,wave2,proactive,intercept,LH_Default_PFC_11,0.114954348562546
115825,wave2,proactive,conjunction,LH_Default_PFC_11,0.00563533175403449
115825,wave2,proactive,distractor,LH_Default_PFC_11,0.00602887724294189
115825,wave2,proactive,incongruency,LH_Default_PFC_11,0.0351428901051828
115825,wave2,proactive,target,LH_Default_PFC_11,-0.0121909902279991
115825,wave2,proactive,intercept,LH_Default_PFC_12,0.170293268800359
115825,wave2,proactive,conjunction,LH_Default_PFC_12,0.0472986534000195
115825,wave2,proactive,distractor,LH_Default_PFC_12,-0.00183732267541564
115825,wave2,proactive,incongruency,LH_Default_PFC_12,-0.0376330546172311
115825,wave2,proactive,target,LH_Default_PFC_12,-0.0299074977374539
115825,wave2,proactive,intercept,LH_Default_PFC_13,0.198040710180246
115825,wave2,proactive,conjunction,LH_Default_PFC_13,-0.00358713028155654
115825,wave2,proactive,distractor,LH_Default_PFC_13,0.0242842551389427
115825,wave2,proactive,incongruency,LH_Default_PFC_13,0.0433531047507023
115825,wave2,proactive,target,LH_Default_PFC_13,0.00229282115575437
115825,wave2,proactive,intercept,LH_Default_PFC_2,-0.03257748310784
115825,wave2,proactive,conjunction,LH_Default_PFC_2,-0.0150051425753709
115825,wave2,proactive,distractor,LH_Default_PFC_2,0.0196743685177686
115825,wave2,proactive,incongruency,LH_Default_PFC_2,-0.040389662056268
115825,wave2,proactive,target,LH_Default_PFC_2,-0.00893246368637398
115825,wave2,proactive,intercept,LH_Default_PFC_3,0.0262906440307217
115825,wave2,proactive,conjunction,LH_Default_PFC_3,-0.0347895413337926
115825,wave2,proactive,distractor,LH_Default_PFC_3,0.0388550622843992
115825,wave2,proactive,incongruency,LH_Default_PFC_3,-0.086746036772283
115825,wave2,proactive,target,LH_Default_PFC_3,0.00143765530921026
115825,wave2,proactive,intercept,LH_Default_PFC_4,0.163528566491076
115825,wave2,proactive,conjunction,LH_Default_PFC_4,-0.012701053158726
115825,wave2,proactive,distractor,LH_Default_PFC_4,-0.00294319629059408
115825,wave2,proactive,incongruency,LH_Default_PFC_4,-0.0175948514591883
115825,wave2,proactive,target,LH_Default_PFC_4,-0.0115332834387006
115825,wave2,proactive,intercept,LH_Default_PFC_5,0.159107653341586
115825,wave2,proactive,conjunction,LH_Default_PFC_5,0.0509870548075597
115825,wave2,proactive,distractor,LH_Default_PFC_5,0.0193025781811287
115825,wave2,proactive,incongruency,LH_Default_PFC_5,-0.087062403635073
115825,wave2,proactive,target,LH_Default_PFC_5,0.0170366273879668
115825,wave2,proactive,intercept,LH_Default_PFC_6,-0.0624998712992749
115825,wave2,proactive,conjunction,LH_Default_PFC_6,0.0209724412450336
115825,wave2,proactive,distractor,LH_Default_PFC_6,0.017279268393461
115825,wave2,proactive,incongruency,LH_Default_PFC_6,-0.0179635631694084
115825,wave2,proactive,target,LH_Default_PFC_6,-0.00400958381007242
115825,wave2,proactive,intercept,LH_Default_PFC_7,0.0611256866678109
115825,wave2,proactive,conjunction,LH_Default_PFC_7,0.0622124149396237
115825,wave2,proactive,distractor,LH_Default_PFC_7,-0.00838853330392121
115825,wave2,proactive,incongruency,LH_Default_PFC_7,-0.0115695935800813
115825,wave2,proactive,target,LH_Default_PFC_7,-0.0200991042138526
115825,wave2,proactive,intercept,LH_Default_PFC_8,0.123916362257224
115825,wave2,proactive,conjunction,LH_Default_PFC_8,0.0036216285322315
115825,wave2,proactive,distractor,LH_Default_PFC_8,0.000533618778856736
115825,wave2,proactive,incongruency,LH_Default_PFC_8,0.000555610916990664
115825,wave2,proactive,target,LH_Default_PFC_8,0.00164258364591977
115825,wave2,proactive,intercept,LH_Default_PFC_9,0.107634232432506
115825,wave2,proactive,conjunction,LH_Default_PFC_9,0.0997101713972346
115825,wave2,proactive,distractor,LH_Default_PFC_9,-0.0340716032076226
115825,wave2,proactive,incongruency,LH_Default_PFC_9,-0.037315012642312
115825,wave2,proactive,target,LH_Default_PFC_9,-0.0244997259323577
115825,wave2,proactive,intercept,LH_Default_PHC_1,0.0516982187013598
115825,wave2,proactive,conjunction,LH_Default_PHC_1,-0.0528247702094353
115825,wave2,proactive,distractor,LH_Default_PHC_1,0.000217483790046759
115825,wave2,proactive,incongruency,LH_Default_PHC_1,0.0639548230867279
115825,wave2,proactive,target,LH_Default_PHC_1,0.0232580449193889
115825,wave2,proactive,intercept,LH_Default_Temp_1,-0.00955632824611592
115825,wave2,proactive,conjunction,LH_Default_Temp_1,-0.0107188233729483
115825,wave2,proactive,distractor,LH_Default_Temp_1,0.0111153382569509
115825,wave2,proactive,incongruency,LH_Default_Temp_1,0.0226124511070099
115825,wave2,proactive,target,LH_Default_Temp_1,-0.0124603115091839
115825,wave2,proactive,intercept,LH_Default_Temp_2,-0.000171662240612786
115825,wave2,proactive,conjunction,LH_Default_Temp_2,0.00393543375349055
115825,wave2,proactive,distractor,LH_Default_Temp_2,-0.00446675584156551
115825,wave2,proactive,incongruency,LH_Default_Temp_2,0.00478754320907196
115825,wave2,proactive,target,LH_Default_Temp_2,0.0107814073206618
115825,wave2,proactive,intercept,LH_Default_Temp_3,-0.0218587714939146
115825,wave2,proactive,conjunction,LH_Default_Temp_3,0.0597634492958804
115825,wave2,proactive,distractor,LH_Default_Temp_3,-0.0147695226826948
115825,wave2,proactive,incongruency,LH_Default_Temp_3,-0.031134755601243
115825,wave2,proactive,target,LH_Default_Temp_3,-0.00166297635577018
115825,wave2,proactive,intercept,LH_Default_Temp_4,0.0384823426940144
115825,wave2,proactive,conjunction,LH_Default_Temp_4,0.036165107567468
115825,wave2,proactive,distractor,LH_Default_Temp_4,0.0429347465287191
115825,wave2,proactive,incongruency,LH_Default_Temp_4,0.0274058290195439
115825,wave2,proactive,target,LH_Default_Temp_4,-0.0258969152700747
115825,wave2,proactive,intercept,LH_Default_Temp_5,0.30646595204496
115825,wave2,proactive,conjunction,LH_Default_Temp_5,-0.0354585487724664
115825,wave2,proactive,distractor,LH_Default_Temp_5,0.057134277934557
115825,wave2,proactive,incongruency,LH_Default_Temp_5,0.0370940819698155
115825,wave2,proactive,target,LH_Default_Temp_5,0.0184516649072179
115825,wave2,proactive,intercept,LH_DorsAttn_FEF_1,0.594371093567817
115825,wave2,proactive,conjunction,LH_DorsAttn_FEF_1,-0.0457795583396264
115825,wave2,proactive,distractor,LH_DorsAttn_FEF_1,0.0135731543734813
115825,wave2,proactive,incongruency,LH_DorsAttn_FEF_1,0.134710603306624
115825,wave2,proactive,target,LH_DorsAttn_FEF_1,0.0191692517744604
115825,wave2,proactive,intercept,LH_DorsAttn_FEF_2,0.494021536685375
115825,wave2,proactive,conjunction,LH_DorsAttn_FEF_2,-0.0193340831266637
115825,wave2,proactive,distractor,LH_DorsAttn_FEF_2,0.0160464878881185
115825,wave2,proactive,incongruency,LH_DorsAttn_FEF_2,0.155932477138334
115825,wave2,proactive,target,LH_DorsAttn_FEF_2,0.0103227892820907
115825,wave2,proactive,intercept,LH_DorsAttn_Post_1,0.0564675050174774
115825,wave2,proactive,conjunction,LH_DorsAttn_Post_1,-0.00233014203365391
115825,wave2,proactive,distractor,LH_DorsAttn_Post_1,0.00353016977681367
115825,wave2,proactive,incongruency,LH_DorsAttn_Post_1,0.0111281956150399
115825,wave2,proactive,target,LH_DorsAttn_Post_1,-0.0108628812572888
115825,wave2,proactive,intercept,LH_DorsAttn_Post_10,0.147972068317561
115825,wave2,proactive,conjunction,LH_DorsAttn_Post_10,0.0347132585368745
115825,wave2,proactive,distractor,LH_DorsAttn_Post_10,-0.0107642879227764
115825,wave2,proactive,incongruency,LH_DorsAttn_Post_10,-0.00215093094076043
115825,wave2,proactive,target,LH_DorsAttn_Post_10,0.00163617823164572
115825,wave2,proactive,intercept,LH_DorsAttn_Post_2,0.284423242062065
115825,wave2,proactive,conjunction,LH_DorsAttn_Post_2,-0.0321132095433675
115825,wave2,proactive,distractor,LH_DorsAttn_Post_2,0.0392363629002784
115825,wave2,proactive,incongruency,LH_DorsAttn_Post_2,0.0471321813254166
115825,wave2,proactive,target,LH_DorsAttn_Post_2,-0.0521495921533056
115825,wave2,proactive,intercept,LH_DorsAttn_Post_3,0.658615568076724
115825,wave2,proactive,conjunction,LH_DorsAttn_Post_3,-0.0372586640850595
115825,wave2,proactive,distractor,LH_DorsAttn_Post_3,0.0159293059474723
115825,wave2,proactive,incongruency,LH_DorsAttn_Post_3,0.11708072848233
115825,wave2,proactive,target,LH_DorsAttn_Post_3,-0.00855027733807067
115825,wave2,proactive,intercept,LH_DorsAttn_Post_4,0.646872575024552
115825,wave2,proactive,conjunction,LH_DorsAttn_Post_4,0.0469921015024658
115825,wave2,proactive,distractor,LH_DorsAttn_Post_4,-0.0243527064937344
115825,wave2,proactive,incongruency,LH_DorsAttn_Post_4,-0.0159345266352009
115825,wave2,proactive,target,LH_DorsAttn_Post_4,-0.00314929802364009
115825,wave2,proactive,intercept,LH_DorsAttn_Post_5,0.638953511057726
115825,wave2,proactive,conjunction,LH_DorsAttn_Post_5,-0.0163731942628749
115825,wave2,proactive,distractor,LH_DorsAttn_Post_5,0.0180077751539695
115825,wave2,proactive,incongruency,LH_DorsAttn_Post_5,0.101075348038704
115825,wave2,proactive,target,LH_DorsAttn_Post_5,-0.000791733367479924
115825,wave2,proactive,intercept,LH_DorsAttn_Post_6,0.353669125665667
115825,wave2,proactive,conjunction,LH_DorsAttn_Post_6,-0.0633974483510315
115825,wave2,proactive,distractor,LH_DorsAttn_Post_6,0.0234262407826243
115825,wave2,proactive,incongruency,LH_DorsAttn_Post_6,0.0684605397704554
115825,wave2,proactive,target,LH_DorsAttn_Post_6,-0.000513130424846391
115825,wave2,proactive,intercept,LH_DorsAttn_Post_7,0.618153202464815
115825,wave2,proactive,conjunction,LH_DorsAttn_Post_7,-0.0297200631339565
115825,wave2,proactive,distractor,LH_DorsAttn_Post_7,0.0255076941597655
115825,wave2,proactive,incongruency,LH_DorsAttn_Post_7,0.168520247538549
115825,wave2,proactive,target,LH_DorsAttn_Post_7,-0.00674796423937937
115825,wave2,proactive,intercept,LH_DorsAttn_Post_8,0.30307540982314
115825,wave2,proactive,conjunction,LH_DorsAttn_Post_8,0.081402178837519
115825,wave2,proactive,distractor,LH_DorsAttn_Post_8,-0.00665517802851858
115825,wave2,proactive,incongruency,LH_DorsAttn_Post_8,0.0449738338028667
115825,wave2,proactive,target,LH_DorsAttn_Post_8,-0.0267033343489757
115825,wave2,proactive,intercept,LH_DorsAttn_Post_9,0.171511093940415
115825,wave2,proactive,conjunction,LH_DorsAttn_Post_9,0.0613349835208569
115825,wave2,proactive,distractor,LH_DorsAttn_Post_9,0.0367760049288755
115825,wave2,proactive,incongruency,LH_DorsAttn_Post_9,-0.0202958740201627
115825,wave2,proactive,target,LH_DorsAttn_Post_9,-0.024057768074428
115825,wave2,proactive,intercept,LH_DorsAttn_PrCv_1,0.334916281219685
115825,wave2,proactive,conjunction,LH_DorsAttn_PrCv_1,0.0650873739488358
115825,wave2,proactive,distractor,LH_DorsAttn_PrCv_1,0.00609070989341875
115825,wave2,proactive,incongruency,LH_DorsAttn_PrCv_1,-0.0260725525925057
115825,wave2,proactive,target,LH_DorsAttn_PrCv_1,-0.0142527821287686
115825,wave2,proactive,intercept,LH_Limbic_OFC_1,-0.0159053121808591
115825,wave2,proactive,conjunction,LH_Limbic_OFC_1,0.00845406234124714
115825,wave2,proactive,distractor,LH_Limbic_OFC_1,-0.0170548750804538
115825,wave2,proactive,incongruency,LH_Limbic_OFC_1,0.0183319406560929
115825,wave2,proactive,target,LH_Limbic_OFC_1,-0.00719000094141142
115825,wave2,proactive,intercept,LH_Limbic_OFC_2,-0.0106933593974386
115825,wave2,proactive,conjunction,LH_Limbic_OFC_2,-0.00275394540561017
115825,wave2,proactive,distractor,LH_Limbic_OFC_2,0.0061198051451127
115825,wave2,proactive,incongruency,LH_Limbic_OFC_2,0.0265626609179326
115825,wave2,proactive,target,LH_Limbic_OFC_2,-0.00162112192613489
115825,wave2,proactive,intercept,LH_Limbic_TempPole_1,0.0514269596070007
115825,wave2,proactive,conjunction,LH_Limbic_TempPole_1,-0.0355210607422185
115825,wave2,proactive,distractor,LH_Limbic_TempPole_1,0.0165797266861739
